exp_id,K_true,K_selected,correct
0,2,2,True
1,2,2,True
2,2,2,True
3,2,2,True
4,2,2,True
5,2,2,True
6,2,2,True
7,2,2,True
8,2,2,True
9,2,2,True
10,2,2,True
11,2,2,True
12,2,2,True
13,2,2,True
14,2,2,True
15,2,2,True
16,2,2,True
17,2,2,True
18,2,2,True
19,2,2,True
20,2,2,True
21,2,2,True
22,2,2,True
23,2,2,True
24,2,2,True
25,2,2,True
26,2,2,True
27,2,2,True
28,2,2,True
29,2,2,True
30,2,2,True
31,2,2,True
32,2,2,True
33,2,2,True
34,2,2,True
35,2,2,True
36,2,2,True
37,2,2,True
38,2,2,True
39,2,2,True
40,2,2,True
41,2,2,True
42,2,2,True
43,2,2,True
44,2,2,True
45,2,2,True
46,2,2,True
47,2,2,True
48,2,1,False
49,2,2,True
50,2,2,True
51,2,2,True
52,2,2,True
53,2,2,True
54,2,2,True
55,2,2,True
56,2,2,True
57,2,2,True
58,2,2,True
59,2,2,True
60,2,2,True
61,2,2,True
62,2,2,True
63,2,2,True
64,2,2,True
65,2,2,True
66,2,2,True
67,2,2,True
68,2,2,True
69,2,2,True
70,2,2,True
71,2,2,True
72,2,2,True
73,2,2,True
74,2,2,True
75,2,2,True
76,2,2,True
77,2,2,True
78,2,2,True
79,2,2,True
80,2,2,True
81,2,2,True
82,2,2,True
83,2,2,True
84,2,2,True
85,2,2,True
86,2,2,True
87,2,2,True
88,2,2,True
89,2,2,True
90,2,2,True
91,2,2,True
92,2,2,True
93,2,2,True
94,2,2,True
95,2,2,True
96,2,2,True
97,2,2,True
98,2,2,True
99,2,2,True
0,3,3,True
1,3,2,False
2,3,3,True
3,3,3,True
4,3,3,True
5,3,3,True
6,3,3,True
7,3,3,True
8,3,3,True
9,3,3,True
10,3,3,True
11,3,3,True
12,3,3,True
13,3,3,True
14,3,3,True
15,3,3,True
16,3,3,True
17,3,3,True
18,3,3,True
19,3,3,True
20,3,3,True
21,3,3,True
22,3,3,True
23,3,3,True
24,3,3,True
25,3,3,True
26,3,3,True
27,3,3,True
28,3,3,True
29,3,3,True
30,3,3,True
31,3,3,True
32,3,3,True
33,3,3,True
34,3,4,False
35,3,3,True
36,3,3,True
37,3,3,True
38,3,3,True
39,3,3,True
40,3,3,True
41,3,3,True
42,3,3,True
43,3,3,True
44,3,3,True
45,3,3,True
46,3,3,True
47,3,3,True
48,3,2,False
49,3,3,True
50,3,3,True
51,3,3,True
52,3,2,False
53,3,3,True
54,3,3,True
55,3,3,True
56,3,3,True
57,3,3,True
58,3,3,True
59,3,3,True
60,3,3,True
61,3,3,True
62,3,3,True
63,3,3,True
64,3,3,True
65,3,3,True
66,3,3,True
67,3,3,True
68,3,3,True
69,3,3,True
70,3,3,True
71,3,3,True
72,3,3,True
73,3,3,True
74,3,3,True
75,3,3,True
76,3,3,True
77,3,3,True
78,3,3,True
79,3,3,True
80,3,3,True
81,3,3,True
82,3,3,True
83,3,3,True
84,3,3,True
85,3,3,True
86,3,3,True
87,3,3,True
88,3,3,True
89,3,3,True
90,3,4,False
91,3,3,True
92,3,3,True
93,3,3,True
94,3,3,True
95,3,3,True
96,3,3,True
97,3,3,True
98,3,3,True
99,3,3,True
0,4,4,True
1,4,3,False
2,4,3,False
3,4,4,True
4,4,4,True
5,4,4,True
6,4,4,True
7,4,4,True
8,4,4,True
9,4,3,False
10,4,3,False
11,4,3,False
12,4,4,True
13,4,4,True
14,4,3,False
15,4,4,True
16,4,4,True
17,4,4,True
18,4,4,True
19,4,6,False
20,4,4,True
21,4,4,True
22,4,4,True
23,4,4,True
24,4,4,True
25,4,4,True
26,4,4,True
27,4,4,True
28,4,4,True
29,4,4,True
30,4,4,True
31,4,4,True
32,4,4,True
33,4,4,True
34,4,4,True
35,4,4,True
36,4,4,True
37,4,4,True
38,4,4,True
39,4,4,True
40,4,4,True
41,4,3,False
42,4,4,True
43,4,5,False
44,4,4,True
45,4,3,False
46,4,4,True
47,4,4,True
48,4,3,False
49,4,4,True
50,4,4,True
51,4,4,True
52,4,3,False
53,4,4,True
54,4,4,True
55,4,4,True
56,4,4,True
57,4,4,True
58,4,4,True
59,4,4,True
60,4,4,True
61,4,4,True
62,4,4,True
63,4,4,True
64,4,4,True
65,4,4,True
66,4,4,True
67,4,4,True
68,4,4,True
69,4,4,True
70,4,4,True
71,4,4,True
72,4,4,True
73,4,4,True
74,4,4,True
75,4,4,True
76,4,4,True
77,4,4,True
78,4,4,True
79,4,4,True
80,4,4,True
81,4,4,True
82,4,4,True
83,4,4,True
84,4,4,True
85,4,4,True
86,4,4,True
87,4,4,True
88,4,4,True
89,4,4,True
90,4,4,True
91,4,4,True
92,4,4,True
93,4,4,True
94,4,4,True
95,4,4,True
96,4,4,True
97,4,4,True
98,4,4,True
99,4,4,True
0,5,5,True
1,5,4,False
2,5,4,False
3,5,5,True
4,5,5,True
5,5,5,True
6,5,4,False
7,5,5,True
8,5,5,True
9,5,4,False
10,5,4,False
11,5,4,False
12,5,4,False
13,5,5,True
14,5,4,False
15,5,5,True
16,5,5,True
17,5,6,False
18,5,5,True
19,5,6,False
20,5,4,False
21,5,4,False
22,5,5,True
23,5,5,True
24,5,5,True
25,5,5,True
26,5,5,True
27,5,5,True
28,5,5,True
29,5,5,True
30,5,5,True
31,5,5,True
32,5,5,True
33,5,5,True
34,5,4,False
35,5,5,True
36,5,5,True
37,5,5,True
38,5,5,True
39,5,5,True
40,5,5,True
41,5,4,False
42,5,5,True
43,5,5,True
44,5,5,True
45,5,5,True
46,5,5,True
47,5,5,True
48,5,4,False
49,5,5,True
50,5,5,True
51,5,5,True
52,5,4,False
53,5,5,True
54,5,4,False
55,5,4,False
56,5,6,False
57,5,5,True
58,5,5,True
59,5,4,False
60,5,5,True
61,5,5,True
62,5,5,True
63,5,5,True
64,5,5,True
65,5,5,True
66,5,5,True
67,5,5,True
68,5,5,True
69,5,5,True
70,5,5,True
71,5,5,True
72,5,5,True
73,5,5,True
74,5,5,True
75,5,4,False
76,5,5,True
77,5,5,True
78,5,5,True
79,5,5,True
80,5,5,True
81,5,5,True
82,5,5,True
83,5,5,True
84,5,4,False
85,5,5,True
86,5,5,True
87,5,5,True
88,5,5,True
89,5,5,True
90,5,4,False
91,5,5,True
92,5,4,False
93,5,5,True
94,5,5,True
95,5,5,True
96,5,5,True
97,5,5,True
98,5,5,True
99,5,4,False
